freq_mhz,inf_s,ms_inf,cpu_ms,npu_ms,us_chunk,budjenja,lambda_rad_us,lambda_cek_us,lambda_ms_inf,lambda_udeo_pct,temp_c
200,91.13,10.9731,1.2932,9.6800,236.10,230370,10.59,0.00,0.4450,4.6,41.615
300,172.23,5.8061,1.2637,4.5424,110.79,434700,10.11,0.00,0.4247,9.3,42.538
400,196.90,5.0787,1.2637,3.8150,93.05,496903,10.08,0.00,0.4236,11.1,42.538
500,218.49,4.5768,1.2661,3.3108,80.75,551294,9.98,0.00,0.4191,12.7,43.461
600,231.56,4.3185,1.2635,3.0551,74.51,584222,9.95,0.00,0.4181,13.7,43.461
700,234.43,4.2658,1.2640,3.0018,73.21,591445,9.93,0.00,0.4173,13.9,43.461
800,235.76,4.2416,1.2623,2.9793,72.67,594805,9.91,0.00,0.4163,14.0,44.384
900,235.87,4.2397,1.2665,2.9732,72.52,595101,9.92,0.00,0.4167,14.0,44.384
1000,234.25,4.2690,1.2648,3.0042,73.27,590982,9.93,0.00,0.4172,13.9,44.384
