freq_mhz,inf_s,ms_inf,cpu_ms,npu_ms,us_chunk,budjenja,lambda_rad_us,lambda_cek_us,lambda_ms_inf,lambda_udeo_pct,temp_c
200,90.83,11.0096,1.3178,9.6918,236.39,229572,10.62,0.00,0.4462,4.6,43.461
300,185.06,5.4037,1.2853,4.1185,100.45,467040,10.13,0.00,0.4258,10.3,44.384
400,211.35,4.7316,1.2887,3.4429,83.97,533274,10.00,0.00,0.4201,12.2,44.384
500,226.63,4.4125,1.2789,3.1336,76.43,571788,9.98,0.00,0.4193,13.4,44.384
600,236.50,4.2284,1.2884,2.9400,71.71,596653,9.92,0.00,0.4168,14.2,45.307
700,240.73,4.1541,1.2888,2.8653,69.89,607364,9.92,0.00,0.4167,14.5,45.307
800,241.90,4.1339,1.2920,2.8420,69.32,610301,9.95,0.00,0.4179,14.7,44.384
900,241.42,4.1422,1.2879,2.8543,69.62,609040,9.94,0.00,0.4177,14.6,44.384
1000,242.84,4.1180,1.2894,2.8285,68.99,612697,9.91,0.00,0.4166,14.7,45.307
