freq_mhz,inf_s,ms_inf,cpu_ms,npu_ms,us_chunk,budjenja,lambda_rad_us,lambda_cek_us,lambda_ms_inf,lambda_udeo_pct,temp_c
200,91.14,10.9717,1.3204,9.6513,235.40,230370,10.58,0.00,0.4444,4.6,43.461
300,161.65,6.1861,1.2900,4.8960,119.42,408071,10.21,0.00,0.4289,8.8,43.461
400,187.25,5.3404,1.2934,4.0470,98.71,472584,10.10,0.00,0.4244,10.5,43.461
500,208.78,4.7898,1.2913,3.4985,85.33,526806,10.03,0.00,0.4212,12.0,44.384
600,221.07,4.5235,1.2860,3.2375,78.96,557802,9.98,0.01,0.4193,13.0,44.384
700,227.40,4.3976,1.2871,3.1105,75.87,573764,9.94,0.00,0.4178,13.4,44.384
